Sponsor_raw,Sponsor_clean,Sponsor_type
Helsinki University Central Hospital,Helsinki University Central Hospital,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
The Netherlands Cancer Institute,The Netherlands Cancer Institute,Research institute / foundation
Institut de Recherches Internationales Servier,Institut de Recherches Internationales Servier,Industry
Centre Leon Berard,Centre Leon Berard,Research institute / foundation
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Tehran University of Medical Sciences,Tehran University of Medical Sciences,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
"Eastern Health, Canada",Eastern Health,Hospital / medical center
Trans Tasman Radiation Oncology Group,Trans Tasman Radiation Oncology Group,Cooperative group / network
Emory University,Emory University,Academic
"Orca Biosystems, Inc.",Orca Biosystems,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-Sen Memorial Hospital,Hospital / medical center
"Beijing InnoCare Pharma Tech Co., Ltd.",Beijing InnoCare Pharma Tech,Industry
"Unither Pharmaceuticals, France",Unither Pharmaceuticals,Industry
Renmin Hospital of Wuhan University,Renmin Hospital of Wuhan University,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
RenJi Hospital,RenJi Hospital,Hospital / medical center
University of Kansas Medical Center,University of Kansas Medical Center,Hospital / medical center
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
University of Florida,University of Florida,Academic
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
Pfizer,Pfizer,Industry
"Betta Pharmaceuticals Co., Ltd.",Betta Pharmaceuticals,Industry
"CG Oncology, Inc.",CG Oncology,Industry
GlaxoSmithKline,GlaxoSmithKline,Industry
UNICANCER,UNICANCER,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
AbbVie,AbbVie,Industry
GlaxoSmithKline,GlaxoSmithKline,Industry
Fengxi Su,Fengxi Su,Individual
Spanish Breast Cancer Research Group,Spanish Breast Cancer Research Group,Cooperative group / network
"Masonic Cancer Center, University of Minnesota","Masonic Cancer Center, University of Minnesota",Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Association Européenne de Recherche en Oncologie,Association Européenne de Recherche en Oncologie,Cooperative group / network
Instituto Nacional de Cancerologia de Mexico,Instituto Nacional de Cancerologia de Mexico,Hospital / medical center
Gilead Sciences,Gilead Sciences,Industry
"SenoRx, Inc.",SenoRx,Industry
"University Hospital, Lille","University Hospital, Lille",Hospital / medical center
Hvidovre University Hospital,Hvidovre University Hospital,Hospital / medical center
YM BioSciences,YM BioSciences,Industry
Qianfoshan Hospital,Qianfoshan Hospital,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Ente Ospedaliero Ospedali Galliera,Ente Ospedaliero Ospedali Galliera,Hospital / medical center
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
UNICANCER,UNICANCER,Cooperative group / network
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Gilead Sciences,Gilead Sciences,Industry
Sherief Abd-Elsalam,Sherief Abd-Elsalam,Individual
OSE Immunotherapeutics,OSE Immunotherapeutics,Industry
Grupo Español de Investigación en Cáncer de Ovario,Grupo Español de Investigación en Cáncer de Ovario,Cooperative group / network
Fudan University,Fudan University,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Wyeth is now a wholly owned subsidiary of Pfizer,Pfizer,Industry
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical Group,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"Astellas Pharma Global Development, Inc.",Astellas Pharma Global Development,Industry
Fudan University,Fudan University,Academic
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Kalbe International Pte. Ltd,Kalbe International,Industry
Monopar Therapeutics,Monopar Therapeutics,Industry
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Wake Forest University Health Sciences,Wake Forest University Health Sciences,Academic
"National Cancer Center, Korea","National Cancer Center, Korea",Hospital / medical center
Guihua Wang,Guihua Wang,Individual
Hutchison Medipharma Limited,Hutchison Medipharma,Industry
Mahidol University,Mahidol University,Academic
Hartford Hospital,Hartford Hospital,Hospital / medical center
"University Hospital, Linkoeping","University Hospital, Linkoeping",Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
"Shanghai Junshi Bioscience Co., Ltd.",Shanghai Junshi Bioscience,Industry
QLT Inc.,QLT,Industry
Guangdong Association of Clinical Trials,Guangdong Association of Clinical Trials,Other / unknown
LEO Pharma,LEO Pharma,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Gilead Sciences,Gilead Sciences,Industry
ECOG-ACRIN Cancer Research Group,ECOG-ACRIN Cancer Research Group,Cooperative group / network
UNICANCER,UNICANCER,Cooperative group / network
University of Belgrade,University of Belgrade,Academic
Hôpital Franco-Britannique-Fondation Cognacq-Jay,Hôpital Franco-Britannique,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Janssen Cilag S.A.S.,Janssen Cilag,Industry
Debiopharm International SA,Debiopharm International,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Haruhiko Fukuda,Haruhiko Fukuda,Individual
Amgen,Amgen,Industry
AstraZeneca,AstraZeneca,Industry
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Institut de Recherches Internationales Servier,Institut de Recherches Internationales Servier,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Eximias Pharmaceutical,Eximias Pharmaceutical,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
University of Rochester,University of Rochester,Academic
Cancer Research UK,Cancer Research UK,Research institute / foundation
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
Mirati Therapeutics Inc.,Mirati Therapeutics,Industry
Abbott,Abbott,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Lisette Nixon,Lisette Nixon,Individual
Professor Dr. Bernd Mühlbauer,Professor Dr. Bernd Mühlbauer,Individual
"Betta Pharmaceuticals Co., Ltd.",Betta Pharmaceuticals,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Guangdong Association of Clinical Trials,Guangdong Association of Clinical Trials,Other / unknown
Vilnius University,Vilnius University,Academic
Fen Li,Fen Li,Individual
Jessa Hospital,Jessa Hospital,Hospital / medical center
"National Institute of Health Research and Development, Ministry of Health Republic of Indonesia","National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",Government / public agency
Mayo Clinic,Mayo Clinic,Hospital / medical center
Medical Research Council,Medical Research Council,Research institute / foundation
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",Jiangsu Hansoh Pharmaceutical,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Lee's Pharmaceutical Limited,Lee's Pharmaceutical,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Incyte Corporation,Incyte Corporation,Industry
UNICANCER,UNICANCER,Cooperative group / network
Sandoz,Sandoz,Industry
"Biotech Pharmaceutical Co., Ltd.",Biotech Pharmaceutical,Industry
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",CSPC ZhongQi Pharmaceutical Technology,Industry
Medical College of Wisconsin,Medical College of Wisconsin,Academic
Fudan University,Fudan University,Academic
Soligenix,Soligenix,Industry
"National Cancer Institute, Egypt","National Cancer Institute, Egypt",Research institute / foundation
Case Comprehensive Cancer Center,Case Comprehensive Cancer Center,Academic
University of Miami,University of Miami,Academic
ECOG-ACRIN Cancer Research Group,ECOG-ACRIN Cancer Research Group,Cooperative group / network
Braintree Laboratories,Braintree Laboratories,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
University of Pennsylvania,University of Pennsylvania,Academic
Takeda,Takeda,Industry
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Trans Tasman Radiation Oncology Group,Trans Tasman Radiation Oncology Group,Cooperative group / network
GlaxoSmithKline,GlaxoSmithKline,Industry
Maastricht Radiation Oncology,Maastricht Radiation Oncology,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Janssen Pharmaceutical K.K.,Janssen Pharmaceutical K.K.,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"National Cancer Centre, Singapore","National Cancer Centre, Singapore",Research institute / foundation
Centre Oscar Lambret,Centre Oscar Lambret,Research institute / foundation
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Hallym University Medical Center,Hallym University Medical Center,Hospital / medical center
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Centre Oscar Lambret,Centre Oscar Lambret,Research institute / foundation
National Taiwan University Hospital,National Taiwan University Hospital,Hospital / medical center
Ain Shams University,Ain Shams University,Academic
Institut Paoli-Calmettes,Institut Paoli-Calmettes,Research institute / foundation
Syndax Pharmaceuticals,Syndax Pharmaceuticals,Industry
Merus N.V.,Merus N.V.,Industry
"Third Affiliated Hospital, Sun Yat-Sen University",Sun Yat-sen University,Academic
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
Japan Clinical Oncology Group,Japan Clinical Oncology Group,Cooperative group / network
Nantes University Hospital,Nantes University Hospital,Hospital / medical center
Myovant Sciences GmbH,Myovant Sciences GmbH,Industry
NCIC Clinical Trials Group,NCIC Clinical Trials Group,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
AstraZeneca,AstraZeneca,Industry
"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Hospital / medical center
"Taiho Oncology, Inc.","Taiho Oncology, Inc.",Industry
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Telix Pharmaceuticals (Innovations) Pty Limited,Telix Pharmaceuticals Pty Limited,Industry
Assiut University,Assiut University,Academic
Pharmacyclics LLC.,Pharmacyclics LLC,Industry
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Celgene,Celgene,Industry
"RemeGen Co., Ltd.","RemeGen Co., Ltd.",Industry
UMC Utrecht,UMC Utrecht,Hospital / medical center
Medical Research Council,Medical Research Council,Research institute / foundation
Genmab,Genmab,Industry
Anhui Provincial Hospital,Anhui Provincial Hospital,Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer - EORTC,Cooperative group / network
Amgen,Amgen,Industry
NovoCure GmbH,NovoCure GmbH,Industry
St. Jude Children's Research Hospital,St. Jude Children's Research Hospital,Hospital / medical center
Sir Mortimer B. Davis - Jewish General Hospital,Jewish General Hospital,Hospital / medical center
"Goldman, Butterwick, Fitzpatrick and Groff","Goldman, Butterwick, Fitzpatrick and Groff",Other / unknown
XIANG YANQUN,XIANG YANQUN,Individual
Fudan University,Fudan University,Academic
Novartis,Novartis,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center,Hospital / medical center
Institut Cancerologie de l'Ouest,Institut Cancerologie de l'Ouest,Research institute / foundation
"National Medical Research Council (NMRC), Singapore",National Medical Research Council,Government / public agency
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
XIANG YANQUN,XIANG YANQUN,Individual
Sun Yat-sen University,Sun Yat-sen University,Academic
Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,Research institute / foundation
Mỹ Đức Hospital,Mỹ Đức Hospital,Hospital / medical center
Centre Oscar Lambret,Centre Oscar Lambret,Research institute / foundation
"Alexion Pharmaceuticals, Inc.",Alexion Pharmaceuticals,Industry
GlaxoSmithKline,GlaxoSmithKline,Industry
Swami Rama Cancer Hospital and Research Institute,Swami Rama Cancer Hospital and Research Institute,Hospital / medical center
Medical University of Vienna,Medical University of Vienna,Academic
Amgen,Amgen,Industry
Xi'an Jiaotong University,Xi'an Jiaotong University,Academic
Pfizer,Pfizer,Industry
Jon Unosson,Jon Unosson,Individual
Chiltern Pesquisa Clinica Ltda,Chiltern Pesquisa Clinica Ltda,Industry
Pentixapharm AG,Pentixapharm AG,Industry
"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",IRCCS Azienda Ospedaliera Universitaria San Martino,Hospital / medical center
